"index","school_name","borough","building_code","average_math","average_reading","average_writing","percent_tested","total_SAT"
"357","Jamaica Gateway to the Sciences","Queens","Q470","487","460","463","78.6","1410"
"358","High School for Community Leadership","Queens","Q470","415","392","386","72.3","1193"
"359","Young Women's Leadership School in Queens","Queens","Q680","415","420","433","90.4","1268"
"360","Queens Collegiate (College Board)","Queens","Q470","455","439","441","74.8","1335"
"361","Hillcrest High School","Queens","Q505","448","432","426","","1306"
"362","Thomas A. Edison Career and Technical Education High School","Queens","Q620","514","473","470","80","1457"
"363","Hillside Arts and Letters Academy","Queens","Q470","409","399","404","62.6","1212"
"364","York Early College Academy","Queens","Q008","496","481","473","92.9","1450"
"365","Queens High School for the Sciences at York College","Queens","Q774","701","621","625","97.9","1947"
"366","High School for Law Enforcement and Public Safety","Queens","Q690","410","431","409","56.6","1250"
"367","August Martin High School","Queens","Q400","366","372","364","26.3","1102"
"368","Frederick Douglass Academy VI High School","Queens","Q465","410","418","407","30.1","1235"
"369","Academy of Medical Technology (College Board)","Queens","Q465","422","424","415","67.6","1261"
"370","Queens High School for Information, Research, and Technology","Queens","Q465","372","362","352","44.6","1086"
"371","Rockaway Park High School for Environmental Sustainability","Queens","Q410","357","381","376","38.5","1114"
"372","Channel View School for Research","Queens","Q410","427","430","423","76.6","1280"
"373","Rockaway Collegiate High School","Queens","Q410","399","403","405","46.5","1207"
"374","Scholars' Academy","Queens","Q180","588","560","568","99.2","1716"
